ChangeID,Timestamp,Level
007,2012-02-05 09:00:00,HIGH
008,2012-02-05 19:00:00,LOW
12020090000,2012-02-01 09:00:00,MEDIUM
12020190000,2012-02-01 19:00:00,HIGH
12020220000,2012-02-01 22:00:00,LOW
12020090000,2012-02-01 09:00:00,MEDIUM
12020190000,2012-02-01 19:00:00,HIGH
12020220000,2012-02-01 22:00:00,LOW
12020090000,2012-02-01 09:00:00,MEDIUM
12020190000,2012-02-01 19:00:00,HIGH
12020220000,2012-02-01 22:00:00,LOW
12020090000,2012-02-01 09:00:00,MEDIUM
12020090000,2012-02-01 09:00:00,MEDIUM
12020190000,2012-02-01 19:00:00,HIGH
12020220000,2012-02-01 22:00:00,LOW
12020090000,2012-02-01 09:00:00,MEDIUM
12020190000,2012-02-01 19:00:00,HIGH
12020220000,2012-02-01 22:00:00,LOW
12020090000,2012-02-01 09:00:00,MEDIUM
12020190000,2012-02-01 19:00:00,HIGH
12020220000,2012-02-01 22:00:00,LOW
12020090000,2012-02-01 09:00:00,MEDIUM
12020190000,2012-02-01 19:00:00,HIGH